,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
47,48AD0B,16975.0,52.2588,5.9449,2025-05-24 14:42:15.154229995+02:00,-72.89855965655289,zi-5067,,,,62.19980442226627
68,48AD0B,17025.0,52.25867,5.95093,2025-05-24 14:42:17.119757743+02:00,-76.43330425933449,zi-5067,,,,61.78914336361996
78,48AD0B,17050.0,52.25862,5.95337,2025-05-24 14:42:18.101766476+02:00,-75.49337719296972,zi-5067,,,,61.622980126644656
123,48AD0B,17175.0,52.25842,5.9662,2025-05-24 14:42:22.252652882+02:00,-76.66648550703235,zi-5067,,,,60.74946302433921
230,48AD0B,17500.0,52.25782,6.0023,2025-05-24 14:42:34.157460631+02:00,-85.63760856072523,zi-5067,,,,58.29149134357797
247,48AD0B,17575.0,52.25773,6.00834,2025-05-24 14:42:36.126107679+02:00,-85.86064290465102,zi-5067,,,,57.880272611290124
257,48AD0B,17600.0,52.25771,6.01135,2025-05-24 14:42:37.214485190+02:00,-90.89554444525871,zi-5067,,,,57.675427344561896
267,48AD0B,17625.0,52.25763,6.01439,2025-05-24 14:42:38.091079573+02:00,-84.54377564315423,zi-5067,,,,57.468339392320026
276,48AD0B,17650.0,52.25757,6.01738,2025-05-24 14:42:39.181067844+02:00,-84.79976415061542,zi-5067,,,,57.26471996993931
285,48AD0B,17675.0,52.25754,6.02043,2025-05-24 14:42:40.163442717+02:00,-82.48272546418431,zi-5067,,,,57.05711945524317
317,48AD0B,17775.0,52.25734,6.03195,2025-05-24 14:42:44.097719823+02:00,-84.07496654771859,zi-5067,,,,56.27270814881526
382,48AD0B,17975.0,52.25697,6.05385,2025-05-24 14:42:51.196326046+02:00,-75.42579134487089,zi-5067,,,,54.781535849944454
398,48AD0B,18000.0,52.25694,6.05692,2025-05-24 14:42:52.181203277+02:00,-72.84607058723209,zi-5067,,,,54.57257391890171
425,48AD0B,18050.0,52.25679,6.06606,2025-05-24 14:42:55.236945413+02:00,-81.73738434767778,zi-5067,,,,53.950242794310455
442,48AD0B,18100.0,52.2567,6.07224,2025-05-24 14:42:57.205419042+02:00,-84.19619943916709,zi-5067,,,,53.52949323560042
461,48AD0B,18150.0,52.25661,6.07826,2025-05-24 14:42:59.170786445+02:00,-85.92002094971811,zi-5067,,,,53.119628333857676
107,484BD1,17325.0,52.34308,6.25969,2025-05-24 14:42:21.048743030+02:00,-85.38413201526383,zi-5067,,,,42.306129053141035
87,484BD1,17400.0,52.34193,6.26419,2025-05-24 14:42:18.977192873+02:00,-78.76642685814814,zi-5067,,,,41.97729252258962
25,4D2228,35000.0,52.39203,6.33464,2025-05-24 14:42:13.079853234+02:00,-95.70579919733181,zi-5067,,,,39.43531283032907
35,4D2228,35000.0,52.39212,6.33786,2025-05-24 14:42:14.059154703+02:00,-124.40237136003476,zi-5067,,,,39.242282489664575
45,4D2228,35000.0,52.39226,6.34147,2025-05-24 14:42:15.044866217+02:00,-93.64534158194951,zi-5067,,,,39.02808529590639
56,4D2228,35000.0,52.39236,6.34437,2025-05-24 14:42:15.917632040+02:00,-108.56380612340377,zi-5067,,,,38.85568434315389
65,4D2228,35000.0,52.39245,6.34782,2025-05-24 14:42:16.901753525+02:00,-88.59401785673793,zi-5067,,,,38.649487907431215
104,4D2228,35000.0,52.39293,6.36147,2025-05-24 14:42:20.939688414+02:00,-73.64679219083476,zi-5067,,,,37.84312302099032
117,4D2228,35000.0,52.39301,6.36438,2025-05-24 14:42:21.706823783+02:00,-93.18127494298412,zi-5067,,,,37.670830669274324
128,4D2228,35000.0,52.39315,6.36775,2025-05-24 14:42:22.690376127+02:00,-106.00872605592428,zi-5067,,,,37.47401366135106
141,4D2228,35000.0,52.39325,6.37154,2025-05-24 14:42:23.783689767+02:00,-122.62687307437959,zi-5067,,,,37.25019470552143
159,4D2228,35000.0,52.39352,6.37909,2025-05-24 14:42:25.967156346+02:00,-108.57554973381438,zi-5067,,,,36.809309779987736
170,4D2228,35000.0,52.39366,6.38298,2025-05-24 14:42:27.165249514+02:00,-108.32866656614952,zi-5067,,,,36.58294590099
179,4D2228,35000.0,52.39375,6.38626,2025-05-24 14:42:28.043228358+02:00,-102.99514551666987,zi-5067,,,,36.39101799113755
499,4CAC8E,38000.0,52.20317,7.3865,2025-05-24 14:43:02.447340248+02:00,-39.69760698077404,zi-5110,,,,36.22102226349441
187,4D2228,35000.0,52.39384,6.38924,2025-05-24 14:42:28.915608594+02:00,-97.95738869528934,zi-5067,,,,36.217388180961244
488,4CAC8E,38000.0,52.20158,7.38454,2025-05-24 14:43:01.462975215+02:00,-41.08649413128358,zi-5110,,,,36.108905040742314
195,4D2228,35000.0,52.39399,6.39263,2025-05-24 14:42:29.898285486+02:00,-88.33459118601274,zi-5067,,,,36.02275919697129
478,4CAC8E,38000.0,52.2003,7.38297,2025-05-24 14:43:00.694517435+02:00,-37.039168457188666,zi-5110,,,,36.01990848381416
466,4CAC8E,38000.0,52.19879,7.38109,2025-05-24 14:42:59.713243701+02:00,-40.39801975344831,zi-5110,,,,35.9138783655142
202,4D2228,35000.0,52.39407,6.3961,2025-05-24 14:42:30.881956570+02:00,-90.23386282322174,zi-5067,,,,35.820072417436975
455,4CAC8E,38000.0,52.19733,7.3793,2025-05-24 14:42:58.730801872+02:00,-48.171568378038096,zi-5110,,,,35.81411092062951
447,4CAC8E,38000.0,52.19591,7.37755,2025-05-24 14:42:57.855582773+02:00,-37.61980861195336,zi-5110,,,,35.71729870309146
439,4CAC8E,38000.0,52.19428,7.37551,2025-05-24 14:42:56.765694299+02:00,-53.2024435529046,zi-5110,,,,35.605086075135596
214,4D2228,35000.0,52.39421,6.39999,2025-05-24 14:42:32.081633098+02:00,-105.41774044248908,zi-5067,,,,35.596039345051416
431,4CAC8E,38000.0,52.19255,7.3734,2025-05-24 14:42:55.673307848+02:00,-53.322134240857245,zi-5110,,,,35.49091549482573
221,4D2228,35000.0,52.39435,6.40358,2025-05-24 14:42:33.066621422+02:00,-96.316665224664,zi-5067,,,,35.390368463026164
422,4CAC8E,38000.0,52.19092,7.37137,2025-05-24 14:42:54.688278133+02:00,-65.89878602827217,zi-5110,,,,35.38166212747788
414,4CAC8E,38000.0,52.18943,7.36955,2025-05-24 14:42:53.704937580+02:00,-64.90454529537973,zi-5110,,,,35.28517516099925
403,4CAC8E,38000.0,52.18804,7.36782,2025-05-24 14:42:52.725434087+02:00,-67.67421961131137,zi-5110,,,,35.19385325910772
231,4D2228,35000.0,52.39445,6.40738,2025-05-24 14:42:34.158536961+02:00,-92.60480549085992,zi-5067,,,,35.170590593622165
390,4CAC8E,38000.0,52.18632,7.36571,2025-05-24 14:42:51.632863347+02:00,-52.96225070746144,zi-5110,,,,35.0840658723154
378,4CAC8E,38000.0,52.18483,7.36389,2025-05-24 14:42:50.756121270+02:00,-50.34580419459004,zi-5110,,,,34.99052130267289
239,4D2228,35000.0,52.39459,6.41084,2025-05-24 14:42:35.142552007+02:00,-84.02945912000148,zi-5067,,,,34.973616459216046
359,4CAC8E,38000.0,52.18199,7.36037,2025-05-24 14:42:48.900672234+02:00,-39.14779687287651,zi-5110,,,,34.81149237411282
250,4D2228,35000.0,52.39468,6.41437,2025-05-24 14:42:36.232936935+02:00,-118.8463293501318,zi-5067,,,,34.77024567477673
347,4CAC8E,38000.0,52.18034,7.35832,2025-05-24 14:42:47.914426188+02:00,-43.174645337281,zi-5110,,,,34.70879188094095
277,4D2228,35000.0,52.39503,6.42479,2025-05-24 14:42:39.183549165+02:00,-82.77590229046132,zi-5067,,,,34.17745189668161
295,4CAC8E,38000.0,52.17072,7.34648,2025-05-24 14:42:41.692316940+02:00,-34.323461363912585,zi-5110,,,,34.14213443801081
290,4CAC8E,38000.0,52.16951,7.34499,2025-05-24 14:42:40.924959942+02:00,-40.586943713465296,zi-5110,,,,34.073848106030304
282,4CAC8E,38000.0,52.16793,7.34303,2025-05-24 14:42:39.942462889+02:00,-39.18035221893749,zi-5110,,,,33.98477161401073
273,4CAC8E,38000.0,52.1662,7.34091,2025-05-24 14:42:38.849365356+02:00,-37.95721275330948,zi-5110,,,,33.89033333307623
