,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
499,4CAC8E,38000.0,52.20317,7.3865,2025-05-24T14:43:02.447340248+02:00,-39.69760698077404,zi-5110,,,,36.22102226349441
488,4CAC8E,38000.0,52.20158,7.38454,2025-05-24T14:43:01.462975215+02:00,-41.08649413128358,zi-5110,,,,36.108905040742314
478,4CAC8E,38000.0,52.2003,7.38297,2025-05-24T14:43:00.694517435+02:00,-37.039168457188666,zi-5110,,,,36.01990848381416
466,4CAC8E,38000.0,52.19879,7.38109,2025-05-24T14:42:59.713243701+02:00,-40.39801975344831,zi-5110,,,,35.9138783655142
455,4CAC8E,38000.0,52.19733,7.3793,2025-05-24T14:42:58.730801872+02:00,-48.171568378038096,zi-5110,,,,35.81411092062951
447,4CAC8E,38000.0,52.19591,7.37755,2025-05-24T14:42:57.855582773+02:00,-37.61980861195336,zi-5110,,,,35.71729870309146
439,4CAC8E,38000.0,52.19428,7.37551,2025-05-24T14:42:56.765694299+02:00,-53.2024435529046,zi-5110,,,,35.605086075135596
431,4CAC8E,38000.0,52.19255,7.3734,2025-05-24T14:42:55.673307848+02:00,-53.322134240857245,zi-5110,,,,35.49091549482573
422,4CAC8E,38000.0,52.19092,7.37137,2025-05-24T14:42:54.688278133+02:00,-65.89878602827217,zi-5110,,,,35.38166212747788
414,4CAC8E,38000.0,52.18943,7.36955,2025-05-24T14:42:53.70493758+02:00,-64.90454529537973,zi-5110,,,,35.28517516099925
403,4CAC8E,38000.0,52.18804,7.36782,2025-05-24T14:42:52.725434087+02:00,-67.67421961131137,zi-5110,,,,35.19385325910772
390,4CAC8E,38000.0,52.18632,7.36571,2025-05-24T14:42:51.632863347+02:00,-52.96225070746144,zi-5110,,,,35.0840658723154
378,4CAC8E,38000.0,52.18483,7.36389,2025-05-24T14:42:50.75612127+02:00,-50.34580419459004,zi-5110,,,,34.99052130267289
359,4CAC8E,38000.0,52.18199,7.36037,2025-05-24T14:42:48.900672234+02:00,-39.14779687287651,zi-5110,,,,34.81149237411282
347,4CAC8E,38000.0,52.18034,7.35832,2025-05-24T14:42:47.914426188+02:00,-43.174645337281,zi-5110,,,,34.70879188094095
295,4CAC8E,38000.0,52.17072,7.34648,2025-05-24T14:42:41.69231694+02:00,-34.323461363912585,zi-5110,,,,34.14213443801081
290,4CAC8E,38000.0,52.16951,7.34499,2025-05-24T14:42:40.924959942+02:00,-40.586943713465296,zi-5110,,,,34.073848106030304
282,4CAC8E,38000.0,52.16793,7.34303,2025-05-24T14:42:39.942462889+02:00,-39.18035221893749,zi-5110,,,,33.98477161401073
273,4CAC8E,38000.0,52.1662,7.34091,2025-05-24T14:42:38.849365356+02:00,-37.95721275330948,zi-5110,,,,33.89033333307623
264,4CAC8E,38025.0,52.16473,7.3391,2025-05-24T14:42:37.867794531+02:00,-31.292171544972714,zi-5110,,,,33.81064826195772
255,4CAC8E,38000.0,52.16304,7.33696,2025-05-24T14:42:36.774772662+02:00,-35.45631114484416,zi-5110,,,,33.71643141936126
244,4CAC8E,38000.0,52.16155,7.33518,2025-05-24T14:42:35.793936635+02:00,-33.94996318112879,zi-5110,,,,33.64156450454135
